id_correspondance,old_artisan_url,new_artisan_url,count_old,count_new,count_sum,,new actif
185,jolivet_peintures,jolivet_peintures_-_applicateur_exclusif_vertikal,1,1201,1202,,0
186,action_facades,action_facades_-_applicateur_exclusif_vertikal,1,334,335,,0
187,crea_facades,crea_facades_-_applicateur_exclusif_vertikal,1,1215,1216,,0
188,facades_sud_concept,facades_sud_concept_-_applicateur_exclusif_vertikal,1,1,2,,0
189,facades_du_var,facades_du_var_-_applicateur_exclusif_vertikal,1,2126,2127,,0
190,turonne_facades,turonne_facades_-_applicateur_exclusif_vertikal,1,1,2,,0
191,esprit_facades,esprit_facades_-_applicateur_exclusif_vertikal,1,1415,1416,,0
192,energie_facades,energie_facades_-_applicateur_exclusif_vertikal,28,233,261,,0
193,capital_facades,capital_facades_-_applicateur_exclusif_vertikal,1,698,699,,0
194,passion_facades,passion_facades_-_applicateur_exclusif_vertikal,1,607,608,,0
195,objectif_facades,objectif_facades_-_applicateur_exclusif_vertikal,1,268,269,,0
196,facades_rochelaises,facades_rochelaises_-_applicateur_exclusif_vertikal,1,69,70,,0
197,facade_du_roy,facade_du_roy-_applicateur_exclusif_vertikal,,1059,1059,,0
200,facades_sud_concept_-_applicateur_exclusif_vertikal,facade_sud_concept_-_applicateur_exclusif_vertikal,1,187,188,,0
201,turonne_facades_-_applicateur_exclusif_vertikal,turone_facades_-_applicateur_exclusif_vertikal,1,471,472,,0
202,bertuzzi_david,bertuzzi_beton_creatif,5,451,456,,1
203,conesa_albi,sarl_conesa_albi,10,139,149,,1
204,kmr,kmr_kolcak_marbre_resine,,128,128,,1
208,k_par_k,k_par_k_toulouse_sud,45,648,693,,1
209,art_et_installateur_fenetres_art_renov_concessionnaire,art_et_fenetres_art_renov_concessionnaire,,5,5,,1
210,adt,adt_assistance_depannage_toulousain,3,48,51,,1
212,store_de_france_31,stores_de_france_31,2,1220,1222,,0
219,morais_(sarl),morais_sarl,3,16,19,,1
220,carota_(sarl),carota_sarl,32,256,288,,1
221,carota_,carota_sarl,1,256,257,,1
222,combettes_(sarl),combettes_sarl,2,25,27,,1
225,combettes_,combettes_sarl,1,25,26,,1
226,santiago_(sarl),santiago_sarl,15,1015,1030,,1
227,santiago_,santiago_sarl,1,1015,1016,,1
228,mpep_(menuiserie_platrerie_etude_et_pose),mpep_menuiserie_platrerie_etude_et_pose,35,225,260,,0
229,mpep_,mpep_menuiserie_platrerie_etude_et_pose,,225,225,,0
230,les_menuisiers_pevecistes_deceuninck_domo_31_affilie,domo_31_reseau_deco_story,17,103,120,,1
231,larroque_jean-pierre_(sarl),larroque_jean-pierre_sarl,35,177,212,,1
232,dcr_31_(devis_conseil_realisation_31),dcr_31_devis_conseil_realisation_31,5,9174,9179,,1
233,raval_bigorre_(sarl),raval_bigorre_sarl,1,1,2,,1
234,resseguier_(sarl),resseguier_sarl,163,570,733,,1
235,alain_rouffiac_et_fils_(ets),alain_rouffiac_et_fils_ets,133,1515,1648,,0
236,bassi_(sarl),bassi_sarl,3,7,10,,1
237,vincent_(sas),vincent_sas,10,47,57,,1
238,bonnet_electricite_(sarl),bonnet_electricite_sarl,5,48,53,,1
239,lobry_(christian),lobry_christian,,1,1,,1
240,lobry_,lobry_christian,,1,1,,1
241,escaich_(philippe),escaich_philippe,,,0,,1
242,escaich_,escaich_philippe,,,0,,1
243,mussato_(xaviere),mussato_xaviere,,10,10,,1
